_id,geo_lat,geo_long,om_capacidadPersonas,om_categoriaRestaurante,om_tenedores,rdfs_label,schema_address_addressCountry,schema_address_addressLocality,schema_address_postalCode,schema_email,schema_telephone,schema_url,uri
642ed93824816aaade326bfb,39.490662,-6.413257,800 pax,3,2,Aralia,ES,Cáceres,10005,info@aralia.es,927230650,http://www.aralia.es,http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/3-aralia
642ed93824816aaade326bfc,39.473031,-6.371138,60 pax,1,2,Atrio,ES,Cáceres,10003,info@restauranteatrio.com,+34 927242928,http://www.restauranteatrio.com,http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/6-atrio
642ed93824816aaade326bfd,39.456062,-6.379184,80 pax,4,1,Big House,ES,Cáceres,10005,bighousecaceres@hotmail.es,+34 927236532,http://www.bighousecaceres.com,http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/8-big-house
642ed93824816aaade326bfe,39.472693,-6.392487,110 pax,4,1,Big House II,ES,Cáceres,10001,bighousecaceres@hotmail.es,+34 927236532,http://www.bighousecaceres.com,http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/9-big-house-ii
642ed93824816aaade326bff,39.465674,-6.374554,60 pax,3,2,Botein,ES,Cáceres,10002,restaurante@botein.es,+34 927240840,http://www.botein.es,http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/10-botein
642ed93824816aaade326c00,39.488472,-6.412719,215 pax,4,1,Cámping Cáceres,ES,Cáceres,10005,info@campingcaceres.com,+34 927107911,http://www.campingcaceres.com,http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/15-camping-caceres
642ed93824816aaade326c01,39.476461,-6.373056,36 pax,4,1,Casa Mijhaeli,ES,Cáceres,10003,reservas@casamijhaeli.es,+34 927243260,http://www.casamijhaeli.es/,http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/19-casa-mijhaeli
642ed93824816aaade326c02,39.349593,-6.334547,1400 pax ,3,2,Castillo de las Arguijuelas,ES,Cáceres,10003,consuelo@torredesande.com,927129851,http://www.castillodelaarguijuela.com,http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/20-castillo-de-las-arguijuelas
642ed93824816aaade326c03,39.47483,-6.372177,130 pax,4,1,Cayena,ES,Cáceres,10003,info@restaurantecayena.com,+34 927245497,http://www.restaurantecayena.com,http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/21-cayena
642ed93824816aaade326c04,39.456394,-6.368393,600 pax,3,2,Cortijo Real,ES,Cáceres,10005,info@restaurantecortijoreal.com,927215009,http://www.restaurantecortijoreal.com,http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/24-cortijo-real
642ed93824816aaade326c05,39.472902,-6.375519,39 pax,4,1,El 13 de San Antón,ES,Cáceres,10003,info@restauranteel13desananton.com,+34 927215007,http://www.restauranteel13desananton.com,http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/25-el-13-de-san-anton
